M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=3

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2403 狀態=S
✅ 機身姿態 roll +5.9° pitch -2.6°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 30.4 秒　22 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → PRE_bl(1.2) → PREHOLD_bl(1.5) → LIFT_bl_80(1.0) → SWING_bl_80(1.5) → DROP_bl_80(1.0) → LIFT_bl_150(1.0) → SWING_bl_150(1.5) → DROP_bl_150(1.0) → LIFT_bl_220(1.0) → SWING_bl_220(1.5) → DROP_bl_220(1.0) → POST_bl(1.2) → SETTLE_bl(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 30.4s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.608 rad        0.64 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
        PRE_bl    0.421 rad        0.55 rad/s   bl3_knee_pitch
    LIFT_bl_80    0.523 rad        0.82 rad/s   bl3_knee_pitch
    DROP_bl_80    0.523 rad        0.82 rad/s   bl3_knee_pitch
   LIFT_bl_150    0.844 rad        1.33 rad/s   bl3_knee_pitch
   DROP_bl_150    0.844 rad        1.33 rad/s   bl3_knee_pitch
   LIFT_bl_220    1.099 rad        1.73 rad/s   bl3_knee_pitch
   DROP_bl_220    1.099 rad        1.73 rad/s   bl3_knee_pitch
       POST_bl    0.421 rad        0.55 rad/s   bl3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.608 rad        0.64 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +5.9 pitch -2.6）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

★ S3 會抬 ['bl']，指令高度掃 ['80', '150', '220'] mm，抬腿前機身先移 x+30 y+140 mm
  ⚠️ MuJoCo 預測（kp=250、鎖輪、shift(30,100)）：
     指令  80 → 實際  13 mm　　指令 150 → 實際 ~82 mm
     指令 120 → 實際  52 mm　　指令 220 → 實際 ~150 mm
     **損失約 68 mm 且與指令高度無關** —— 是 `STATIC_SAG=32.5` 的兩倍多。
     若實機也是這樣，CPG 基準的 g_c=0.08 在實機上腿幾乎不會離地。

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
  9.11         PRE_bl    250     0.0673    13.85   bl3_knee_pitch   -0.9   -1.4
  9.36         PRE_bl    250     0.0600    15.66   br3_knee_pitch   -1.5   -1.5
  9.62         PRE_bl    250     0.0615    15.44   fr3_knee_pitch   -2.0   -1.4
  9.87     PREHOLD_bl    250     0.0655    16.46   fr3_knee_pitch   -1.9   -1.4
 10.12     PREHOLD_bl    250     0.0655    16.51   fr3_knee_pitch   -1.9   -1.4
 10.37     PREHOLD_bl    250     0.0655    16.46   fr3_knee_pitch   -1.9   -1.4
 10.63     PREHOLD_bl    250     0.0655    16.43   fr3_knee_pitch   -2.0   -1.4
 10.88     PREHOLD_bl    250     0.0655    16.53   fr3_knee_pitch   -2.0   -1.4
 11.13     PREHOLD_bl    250     0.0655    16.41   fr3_knee_pitch   -2.0   -1.4
 11.39     LIFT_bl_80    250     0.0657    16.61   br3_knee_pitch   -1.9   -1.4
 11.64     LIFT_bl_80    250     0.0882    22.95   br3_knee_pitch   -2.8   -1.9
 11.89     LIFT_bl_80    250     0.1035    25.84   br3_knee_pitch   -3.5   -2.4
 12.14     LIFT_bl_80    250     0.1035    25.83   br3_knee_pitch   -3.7   -2.5
 12.40    SWING_bl_80    250     0.1038    25.88   br3_knee_pitch   -3.7   -2.5
 12.65    SWING_bl_80    250     0.1050    26.14   br3_knee_pitch   -3.8   -2.6
 12.90    SWING_bl_80    250     0.1050    26.16   br3_knee_pitch   -3.8   -2.6
 13.15    SWING_bl_80    250     0.1050    26.18   br3_knee_pitch   -3.8   -2.6
 13.41    SWING_bl_80    250     0.1050    26.14   br3_knee_pitch   -3.9   -2.6
 13.66    SWING_bl_80    250     0.1050    26.21   br3_knee_pitch   -3.9   -2.6
 13.91     DROP_bl_80    250     0.1050    26.15   br3_knee_pitch   -3.9   -2.6
 14.16     DROP_bl_80    250     0.1050    26.21   br3_knee_pitch   -3.9   -2.6
 14.42     DROP_bl_80    250     0.0909    22.61   br3_knee_pitch   -2.9   -2.1
 14.67     DROP_bl_80    250     0.0832    20.52   br3_knee_pitch   -1.7   -1.7
 14.92    LIFT_bl_150    250     0.0852    21.52   br3_knee_pitch   -1.7   -1.7
 15.18    LIFT_bl_150    250     0.1103    27.51   br3_knee_pitch   -3.6   -2.7
 15.43    LIFT_bl_150    250     0.1103    27.54   br3_knee_pitch   -3.8   -2.7
 15.68    LIFT_bl_150    250     0.1103    27.50   br3_knee_pitch   -3.8   -2.7
 15.93   SWING_bl_150    250     0.1107    27.57   br3_knee_pitch   -3.8   -2.7
 16.19   SWING_bl_150    250     0.1107    27.59   br3_knee_pitch   -3.8   -2.7
 16.44   SWING_bl_150    250     0.1111    27.71   br3_knee_pitch   -3.7   -2.7
 16.69   SWING_bl_150    250     0.1111    27.71   br3_knee_pitch   -3.7   -2.7
 16.95   SWING_bl_150    250     0.1111    27.71   br3_knee_pitch   -3.7   -2.7
 17.20    DROP_bl_150    250     0.1111    27.74   br3_knee_pitch   -3.8   -2.7
 17.45    DROP_bl_150    250     0.1111    27.70   br3_knee_pitch   -3.8   -2.7
 17.70    DROP_bl_150    250     0.1111    27.73   br3_knee_pitch   -3.8   -2.7
 17.96    DROP_bl_150    250     0.0916    21.97   br3_knee_pitch   -3.3   -2.2
 18.21    LIFT_bl_220    250     0.0893    22.26   br3_knee_pitch   -1.4   -1.7
 18.46    LIFT_bl_220    250     0.0977    24.86   br3_knee_pitch   -1.9   -2.1
 18.72    LIFT_bl_220    250     0.1122    27.95   br3_knee_pitch   -3.6   -2.9
 18.97    LIFT_bl_220    250     0.1122    27.97   br3_knee_pitch   -3.5   -2.8
 19.22   SWING_bl_220    250     0.1122    27.99   br3_knee_pitch   -3.5   -2.8
 19.48   SWING_bl_220    250     0.1122    27.99   br3_knee_pitch   -3.5   -2.8
 19.73   SWING_bl_220    250     0.1122    28.01   br3_knee_pitch   -3.5   -2.8
 19.98   SWING_bl_220    250     0.1122    28.02   br3_knee_pitch   -3.6   -2.8
 20.23   SWING_bl_220    250     0.1122    27.96   br3_knee_pitch   -3.6   -2.8
 20.49   SWING_bl_220    250     0.1122    27.99   br3_knee_pitch   -3.6   -2.8
 20.74    DROP_bl_220    250     0.1122    27.97   br3_knee_pitch   -3.6   -2.8
 20.99    DROP_bl_220    250     0.1122    27.99   br3_knee_pitch   -3.6   -2.8
 21.24    DROP_bl_220    250     0.1122    27.96   br3_knee_pitch   -3.6   -2.8
 21.49    DROP_bl_220    250     0.1000    23.29   br3_knee_pitch   -3.3   -2.5
 21.75        POST_bl    250     0.0896    22.33   br3_knee_pitch   -1.3   -1.8
 22.00        POST_bl    250     0.0980    24.34   br3_knee_pitch   -0.4   -1.7
 22.26        POST_bl    250     0.0967    23.40   fr3_knee_pitch   +0.9   -1.6
 22.51        POST_bl    250     0.0815    19.52   fr3_knee_pitch   +1.7   -1.6
 22.76        POST_bl    250     0.0776    19.00   fr3_knee_pitch   +1.9   -1.6
 23.02      SETTLE_bl    250     0.0723    18.12   fr3_knee_pitch   +1.5   -1.6
 23.27      SETTLE_bl    250     0.0723    18.09   fr3_knee_pitch   +1.5   -1.6
 23.52      SETTLE_bl    250     0.0723    18.12   fr3_knee_pitch   +1.5   -1.6
 23.78      SETTLE_bl    250     0.0723    18.14   fr3_knee_pitch   +1.6   -1.6
 24.03    BACK_crouch    250     0.0545    15.02   fr3_knee_pitch   +1.5   -1.6
 24.28    BACK_crouch    250     0.0560    11.91   fr3_knee_pitch   +0.8   -1.6
 24.53    BACK_crouch    250     0.0615    15.66   fr3_knee_pitch   +0.8   -1.6
 24.78    BACK_crouch    250     0.0512    14.62   fr3_knee_pitch   +0.4   -1.7
 25.04    BACK_crouch    250     0.0364    14.66   fr3_knee_pitch   +0.6   -1.7
 25.29    BACK_crouch    250     0.0535    15.54   bl3_knee_pitch   +0.5   -1.8
 25.54   HOLDB_crouch    250     0.0660    16.28   br3_knee_pitch   +0.5   -1.8
 25.79   HOLDB_crouch    250     0.0660    16.37   br3_knee_pitch   +0.5   -1.8
 26.05   HOLDB_crouch    250     0.0660    16.35   br3_knee_pitch   +0.5   -1.8
 26.30   HOLDB_crouch    250     0.0660    16.32   br3_knee_pitch   +0.5   -1.8
 26.55   HOLDB_crouch    250     0.0660    16.29   br3_knee_pitch   +0.5   -1.8
 26.81   HOLDB_crouch    250     0.0660    16.30   br3_knee_pitch   +0.5   -1.8
 27.06       BACK_LIE    250     0.0616    15.54   fr3_knee_pitch   +0.6   -1.8
 27.31       BACK_LIE    250     0.0519    13.17   fl3_knee_pitch   +0.9   -2.0
 27.56       BACK_LIE    250     0.0574    13.25     bl1_hip_roll   +2.4   -2.3
 27.81       BACK_LIE    250     0.0610    13.38     bl1_hip_roll   +3.4   -2.5
 28.07       BACK_LIE    250     0.0288     5.30     bl1_hip_roll   +4.3   -2.6
 28.32       BACK_LIE    250     0.0110     2.50     bl1_hip_roll   +5.0   -2.8
 28.57      RAMP_DOWN    229     0.0111     2.50     bl1_hip_roll   +5.3   -2.7
 28.82      RAMP_DOWN    197     0.0111     2.16   fr3_knee_pitch   +5.3   -2.8
 29.07      RAMP_DOWN    166     0.0111     1.90     bl1_hip_roll   +5.3   -2.8
 29.32      RAMP_DOWN    135     0.0114     1.52     bl1_hip_roll   +5.4   -2.8
 29.58      RAMP_DOWN    103     0.0114     1.24     bl1_hip_roll   +5.4   -2.8
 29.83      RAMP_DOWN     72     0.0114     0.85     bl1_hip_roll   +5.4   -2.8
 30.08      RAMP_DOWN     40     0.0114     0.55     bl1_hip_roll   +5.4   -2.8
 30.33      RAMP_DOWN      9     0.0118     0.15   fr3_knee_pitch   +5.4   -2.8

============================================================================
✅ 序列完整跑完

關節                     峰值τ      門檻      用掉
fl1_hip_roll         -9.03      50     18%
fl2_hip_pitch       +13.43      50     27%
fl3_knee_pitch      +26.38      70     38%
fr1_hip_roll        -10.37      50     21%
fr2_hip_pitch       +13.26      50     27%
fr3_knee_pitch      +26.26      70     38%
bl1_hip_roll        -15.46      50     31%
bl2_hip_pitch       -12.48      50     25%
bl3_knee_pitch      -25.99      70     37%
br1_hip_roll         +9.49      50     19%
br2_hip_pitch       -13.71      50     27%
br3_knee_pitch      -28.76      70     41%

迴圈：6080 次 / 30.40s = 200 Hz（目標 200）　最長單次間隔 20 ms @ t=21.44s（警戒 250、controller 逾時 500）

📊 /home/robot/m_logs/M8_20260827_132405.json

⏸ mc_ctrl 仍在凍結中（PID 2403）。確認狗安全後：
      sudo kill -CONT 2403

📄 /home/robot/m_logs/M8_20260827_132405.log
